_id,metadata.speed,metadata.bateria,metadata.numSV,metadata.dateUtcIso,metadata.accH,metadata.hMSL,metadata.lng,metadata.lat
5ffdf1b5eafd664974be2b6c,0.2,242,13,2021-01-12T19:00:01.000Z,0.047,21.588,-40.2442309,-20.2412437
5ffdf1b6eafd664974be2b6f,0.12,243,13,2021-01-12T19:00:02.000Z,0.047,21.562,-40.2442311,-20.2412443
5ffdf1b7eafd664974be2b72,0.05,244,13,2021-01-12T19:00:03.000Z,0.049,21.564,-40.2442312,-20.2412438
5ffdf1b8eafd664974be2b75,0.13,241,12,2021-01-12T19:00:04.000Z,0.053,21.541,-40.2442316,-20.2412406
5ffdf1b9eafd664974be2b78,0.42,240,13,2021-01-12T19:00:05.000Z,0.049,21.538,-40.244233,-20.2412344
5ffdf1baeafd664974be2b7c,0.8,243,11,2021-01-12T19:00:06.000Z,0.049,21.558,-40.2442339,-20.241226
5ffdf1bbeafd664974be2b7f,0.95,241,12,2021-01-12T19:00:07.000Z,0.06,21.49,-40.2442346,-20.2412159
5ffdf1bceafd664974be2b82,1.15,242,12,2021-01-12T19:00:08.000Z,0.055,21.52,-40.244232,-20.2412056
5ffdf1beeafd664974be2b86,1.38,244,11,2021-01-12T19:00:10.000Z,0.045,21.569,-40.24422,-20.2411838
5ffdf1bfeafd664974be2b8a,1.48,243,13,2021-01-12T19:00:12.000Z,0.051,21.469,-40.2442066,-20.241159
5ffdf1c1eafd664974be2b8c,1.68,242,13,2021-01-12T19:00:14.000Z,0.05,21.538,-40.2441932,-20.2411307
5ffdf1c3eafd664974be2b8f,1.78,240,13,2021-01-12T19:00:16.000Z,0.045,21.531,-40.2441815,-20.2410996
5ffdf1c5eafd664974be2b92,1.89,241,13,2021-01-12T19:00:18.000Z,0.052,21.507,-40.2441726,-20.2410661
5ffdf1c6eafd664974be2b95,1.94,243,13,2021-01-12T19:00:20.000Z,0.054,21.426,-40.2441648,-20.2410314
5ffdf1c8eafd664974be2b98,2.01,241,13,2021-01-12T19:00:22.000Z,0.058,21.403,-40.2441554,-20.2409955
5ffdf1caeafd664974be2b9b,2.15,242,13,2021-01-12T19:00:24.000Z,0.049,21.393,-40.2441422,-20.2409597
5ffdf1cceafd664974be2b9e,1.96,241,13,2021-01-12T19:00:26.000Z,0.055,21.453,-40.2441249,-20.2409276
5ffdf1cdeafd664974be2ba1,1.93,242,13,2021-01-12T19:00:28.000Z,0.046,21.492,-40.2441034,-20.2408993
5ffdf1cfeafd664974be2ba4,1.88,241,13,2021-01-12T19:00:30.000Z,0.046,21.59,-40.2440775,-20.2408759
5ffdf1d1eafd664974be2ba8,1.92,243,13,2021-01-12T19:00:32.000Z,0.055,21.695,-40.2440508,-20.2408532
5ffdf1d3eafd664974be2bab,1.86,242,13,2021-01-12T19:00:34.000Z,0.046,21.719,-40.2440241,-20.2408307
5ffdf1d4eafd664974be2bae,1.94,243,13,2021-01-12T19:00:35.000Z,0.046,21.683,-40.2440118,-20.2408173
5ffdf1d5eafd664974be2baf,1.96,243,13,2021-01-12T19:00:36.000Z,0.048,21.699,-40.2440013,-20.2408026
5ffdf1d6eafd664974be2bb2,1.89,243,12,2021-01-12T19:00:37.000Z,0.06,21.679,-40.2439959,-20.2407868
5ffdf1d7eafd664974be2bb5,1.81,240,12,2021-01-12T19:00:38.000Z,0.054,21.655,-40.2439949,-20.2407709
5ffdf1d8eafd664974be2bb7,1.7,242,13,2021-01-12T19:00:39.000Z,0.068,21.616,-40.2440003,-20.2407566
5ffdf1daeafd664974be2bba,1.73,242,13,2021-01-12T19:00:40.000Z,0.157,21.801,-40.2440098,-20.240746
5ffdf1dbeafd664974be2bbc,1.57,243,12,2021-01-12T19:00:41.000Z,0.059,20.2,-40.2440132,-20.2407329
5ffdf1dceafd664974be2bbf,0.76,240,12,2021-01-12T19:00:42.000Z,0.061,21.604,-40.2440227,-20.2407356
5ffdf1ddeafd664974be2bc2,0.73,243,12,2021-01-12T19:00:43.000Z,0.059,21.528,-40.2440286,-20.2407323
5ffdf1deeafd664974be2bc5,0.66,244,12,2021-01-12T19:00:44.000Z,0.065,21.496,-40.2440325,-20.2407304
5ffdf1dfeafd664974be2bc8,0.47,240,12,2021-01-12T19:00:45.000Z,0.058,21.467,-40.2440339,-20.2407297
5ffdf1e1eafd664974be2bcb,0.06,245,12,2021-01-12T19:00:46.000Z,0.051,21.489,-40.2440346,-20.2407294
5ffdf1e2eafd664974be2bcf,0.11,242,12,2021-01-12T19:00:47.000Z,0.051,21.484,-40.2440351,-20.240729
5ffdf1e3eafd664974be2bd1,0.04,243,12,2021-01-12T19:00:48.000Z,0.049,21.524,-40.2440351,-20.2407293
5ffdf1e4eafd664974be2bd5,0.06,242,12,2021-01-12T19:00:49.000Z,0.05,21.516,-40.2440359,-20.2407291
5ffdf1e5eafd664974be2bd8,0.08,243,12,2021-01-12T19:00:50.000Z,0.054,21.518,-40.2440361,-20.240729
5ffdf1e6eafd664974be2bdb,0.02,243,11,2021-01-12T19:00:51.000Z,0.05,21.531,-40.244036,-20.240729
5ffdf1e8eafd664974be2bde,0.02,244,14,2021-01-12T19:00:52.000Z,0.054,21.528,-40.2440361,-20.240729
5ffdf1e8eafd664974be2be2,0.01,241,13,2021-01-12T19:00:53.000Z,0.05,21.525,-40.244036,-20.2407289
5ffdf1e9eafd664974be2be5,0.01,242,14,2021-01-12T19:00:54.000Z,0.05,21.487,-40.244036,-20.2407288
5ffdf1eaeafd664974be2be7,0.03,240,13,2021-01-12T19:00:55.000Z,0.05,21.466,-40.2440356,-20.2407288
5ffdf1ebeafd664974be2bea,0.02,242,13,2021-01-12T19:00:56.000Z,0.05,21.461,-40.2440343,-20.2407294
5ffdf1eceafd664974be2bec,0.2,243,12,2021-01-12T19:00:57.000Z,0.054,21.475,-40.2440338,-20.2407297
5ffdf1edeafd664974be2bef,0.01,243,14,2021-01-12T19:00:58.000Z,0.05,21.46,-40.2440338,-20.2407296
5ffdf1efeafd664974be2bf2,0.01,243,14,2021-01-12T19:00:59.000Z,0.05,21.448,-40.2440339,-20.2407297
5ffdf1f0eafd664974be2bf4,0.01,243,14,2021-01-12T19:01:00.000Z,0.05,21.438,-40.244034,-20.2407296
5ffdf1f1eafd664974be2bf7,0.0,242,13,2021-01-12T19:01:01.000Z,0.05,21.441,-40.2440339,-20.2407297
5ffdf1f2eafd664974be2bf8,0.0,242,14,2021-01-12T19:01:02.000Z,0.05,21.453,-40.2440339,-20.2407297
5ffdf1f2eafd664974be2bfb,0.0,244,13,2021-01-12T19:01:03.000Z,0.053,21.467,-40.2440339,-20.2407297
5ffdf1f4eafd664974be2bfd,0.01,241,13,2021-01-12T19:01:04.000Z,0.051,21.471,-40.2440337,-20.2407297
5ffdf1f6eafd664974be2c02,0.01,242,13,2021-01-12T19:01:06.000Z,0.05,21.455,-40.2440335,-20.2407299
5ffdf1f8eafd664974be2c05,0.38,241,11,2021-01-12T19:01:08.000Z,0.054,21.425,-40.2440244,-20.2407345
5ffdf1f9eafd664974be2c07,0.89,242,13,2021-01-12T19:01:10.000Z,0.063,21.523,-40.2440087,-20.2407405
