_id,metadata.speed,metadata.bateria,metadata.numSV,metadata.dateUtcIso,metadata.accH,metadata.hMSL,metadata.lng,metadata.lat
5ff95474b38af81a0c05349d,0.0,240,14,2021-01-09T07:00:01.000Z,0.132,20.131,-40.2441274,-20.2412411
5ff95475b38af81a0c0534a0,0.0,240,15,2021-01-09T07:00:02.000Z,0.121,20.099,-40.2441279,-20.241241
5ff95476b38af81a0c0534a4,0.0,239,14,2021-01-09T07:00:03.000Z,0.115,20.034,-40.2441279,-20.2412407
5ff95477b38af81a0c0534a8,0.0,241,14,2021-01-09T07:00:04.000Z,0.123,19.957,-40.2441276,-20.2412405
5ff95478b38af81a0c0534ab,0.0,242,14,2021-01-09T07:00:05.000Z,0.127,19.922,-40.2441273,-20.2412403
5ff95479b38af81a0c0534ae,0.01,242,14,2021-01-09T07:00:06.000Z,0.133,19.878,-40.2441272,-20.24124
5ff9547ab38af81a0c0534b2,0.01,238,14,2021-01-09T07:00:07.000Z,0.131,19.803,-40.2441267,-20.2412399
5ff9547bb38af81a0c0534b6,0.0,240,14,2021-01-09T07:00:08.000Z,0.113,19.702,-40.2441264,-20.24124
5ff9547cb38af81a0c0534ba,0.0,240,14,2021-01-09T07:00:09.000Z,0.112,19.59,-40.2441264,-20.24124
5ff9547db38af81a0c0534bd,0.0,240,15,2021-01-09T07:00:10.000Z,0.112,19.536,-40.244126,-20.24124
5ff9547eb38af81a0c0534c1,0.0,238,14,2021-01-09T07:00:11.000Z,0.121,19.558,-40.2441263,-20.2412398
5ff9547fb38af81a0c0534c4,0.0,238,14,2021-01-09T07:00:12.000Z,0.119,19.549,-40.2441265,-20.2412401
5ff95481b38af81a0c0534cb,0.0,241,14,2021-01-09T07:00:14.000Z,0.121,19.551,-40.2441269,-20.2412401
5ff95484b38af81a0c0534d3,0.59,240,15,2021-01-09T07:00:16.000Z,0.132,19.534,-40.2441302,-20.2412387
5ff95487b38af81a0c0534d9,1.35,240,15,2021-01-09T07:00:18.000Z,0.12,19.605,-40.244148,-20.2412278
